CountyFIPS,StateOrProvinceCode,CountyName,CountryFIPS
78010,VI,Saint Croix,US
78020,VI,Saint John,US
78030,VI,Saint Thomas,US
00000,AE,none,US
00000,AA,none,US
70030,PW,Palau,US
69010,MP,Northern Mariana Islands,US
68020,MH,Marshall Islands,US
66010,GU,Guam,US
64003,FM,Federated States of Micro,US
00000,AP,none,US
60050,AS,American Samoa,US
72001,PR,Adjuntas,US
72003,PR,Aguada,US
72005,PR,Aguadilla,US
72007,PR,Aguas Buenas,US
72009,PR,Aibonito,US
72011,PR,Anasco,US
72013,PR,Arecibo,US
72015,PR,Arroyo,US
72017,PR,Barceloneta,US
72019,PR,Barranquitas,US
72021,PR,Bayamon,US
72023,PR,Cabo Rojo,US
72025,PR,Caguas,US
72027,PR,Camuy,US
72029,PR,Canovanas,US
72031,PR,Carolina,US
72033,PR,Catano,US
72035,PR,Cayey,US
72037,PR,Ceiba,US
72039,PR,Ciales,US
72041,PR,Cidra,US
72043,PR,Coamo,US
72045,PR,Comerio,US
72047,PR,Corozal,US
72049,PR,Culebra,US
72051,PR,Dorado,US
72053,PR,Fajardo,US
72054,PR,Florida,US
72055,PR,Guanica,US
72057,PR,Guayama,US
72059,PR,Guayanilla,US
72061,PR,Guaynabo,US
72063,PR,Gurabo,US
72065,PR,Hatillo,US
72067,PR,Hormigueros,US
72069,PR,Humacao,US
72071,PR,Isabela,US
72073,PR,Jayuya,US
72075,PR,Juana Diaz,US
72077,PR,Juncos,US
72079,PR,Lajas,US
72081,PR,Lares,US
72083,PR,Las Marias,US
72085,PR,Las Piedras,US
72087,PR,Loiza,US
72089,PR,Luquillo,US
72091,PR,Manati,US
72093,PR,Maricao,US
72095,PR,Maunabo,US
72097,PR,Mayaguez,US
72099,PR,Moca,US
72101,PR,Morovis,US
72103,PR,Naguabo,US
72105,PR,Naranjito,US
72107,PR,Orocovis,US
72109,PR,Patillas,US
72111,PR,Penuelas,US
72113,PR,Ponce,US
72115,PR,Quebradillas,US
72117,PR,Rincon,US
72119,PR,Rio Grande,US
72121,PR,Sabana Grande,US
72123,PR,Salinas,US
72125,PR,San German,US
72127,PR,San Juan,US
72129,PR,San Lorenzo,US
72131,PR,San Sebastian,US
72133,PR,Santa Isabel,US
72135,PR,Toa Alta,US
72137,PR,Toa Baja,US
72139,PR,Trujillo Alto,US
72141,PR,Utuado,US
72143,PR,Vega Alta,US
72145,PR,Vega Baja,US
72147,PR,Vieques,US
72149,PR,Villalba,US
72151,PR,Yabucoa,US
72153,PR,Yauco,US
3554,YT,Yukon,CA
3536,SK,Division No.  1,CA
3537,SK,Division No.  2,CA
3538,SK,Division No.  3,CA
3539,SK,Division No.  4,CA
3540,SK,Division No.  5,CA
3541,SK,Division No.  6,CA
3542,SK,Division No.  7,CA
3543,SK,Division No.  8,CA
3544,SK,Division No.  9,CA
3545,SK,Division No. 10,CA
3546,SK,Division No. 11,CA
3547,SK,Division No. 12,CA
3548,SK,Division No. 13,CA
3549,SK,Division No. 14,CA
3550,SK,Division No. 15,CA
3551,SK,Division No. 16,CA
3552,SK,Division No. 17,CA
3553,SK,Division No. 18,CA
3434,PE,Kings,CA
3435,PE,Prince,CA
3436,PE,Queens,CA
3374,NT,Region 1,CA
3375,NT,Region 2,CA
3376,NT,Region 3,CA
3377,NT,Region 4,CA
3378,NT,Region 5,CA
3379,NT,Region 6,CA
3380,NU,Baffin,CA
3381,NU,Keewatin,CA
3382,NU,Kitikmeot,CA
3356,NS,Annapolis,CA
3357,NS,Antigonish,CA
3358,NS,Cape Breton,CA
3359,NS,Colchester,CA
3360,NS,Cumberland,CA
3361,NS,Digby,CA
3362,NS,Guysborough,CA
3363,NS,Halifax,CA
3364,NS,Hants,CA
3365,NS,Inverness,CA
3366,NS,Kings,CA
3367,NS,Lunenburg,CA
3368,NS,Pictou,CA
3369,NS,Queens,CA
3370,NS,Richmond,CA
3371,NS,Shelburne,CA
3372,NS,Victoria,CA
3373,NS,Yarmouth,CA
3345,NL,Division No.  1,CA
3346,NL,Division No.  2,CA
3347,NL,Division No.  3,CA
3348,NL,Division No.  4,CA
3349,NL,Division No.  5,CA
3350,NL,Division No.  6,CA
3351,NL,Division No.  7,CA
3352,NL,Division No.  8,CA
3353,NL,Division No.  9,CA
3354,NL,Division No. 10,CA
3355,NL,Division No. 11,CA
3329,NB,Albert,CA
3330,NB,Carleton,CA
3331,NB,Charlotte,CA
3332,NB,Gloucester,CA
3333,NB,Kent,CA
3334,NB,Kings,CA
3335,NB,Madawaska,CA
3336,NB,Northumberland,CA
3337,NB,Queens,CA
3338,NB,Restigouche,CA
3339,NB,Saint John,CA
3340,NB,Sunbury,CA
3341,NB,Temiscouata,CA
3342,NB,Victoria,CA
3343,NB,Westmorland,CA
3344,NB,York,CA
3306,MB,Division No.  1,CA
